"","Rad","dSdR","E_dSdR","e_dsdr_lc","Vcc","E_Vcc","e_vcc_lc"
"1",0.0527,0.003,0.12,0.13,2.2407,0.0564,0.0526
"2",0.0574,-0.014,0.13,0.07,2.3454,0.0294,0.0506
"3",0.0623,-0.035,0.13,0.25,2.4199,0.087,0.048
"4",0.0673,-0.029,0.1,0.27,2.3784,0.0914,0.0365
"5",0.0722,-0.062,0.15,0.15,2.4755,0.0474,0.0481
"6",0.0782,-0.034,0.1,0.1,2.3808,0.0314,0.0315
"7",0.0819,-0.014,0.05,0.09,2.3049,0.0279,0.017
"8",0.0878,-0.026,0.07,0.06,2.3125,0.0195,0.0225
"9",0.0927,-0.032,0,0,2.322,0.0062,0.0072
"10",0.0976,-0.033,0,0,2.3176,0.0052,0.0042
"11",0.1026,-0.032,0,0,2.3082,0.004,0.0044
"12",0.1075,-0.031,0,0,2.2926,0.0041,0.0038
"13",0.1125,-0.0262,0,0,2.271,0.0054,0.0033
"14",0.1175,-0.0274,0,0,2.2695,0.0039,0.004
"15",0.1225,-0.0285,0,0,2.2532,0.0037,0.0051
"16",0.1274,-0.0297,0,0,2.2386,0.0046,0.0054
"17",0.1323,-0.0308,0,0,2.2404,0.004,0.0057
"18",0.1374,-0.032,0,0,2.2057,0.0051,0.0064
"19",0.1424,-0.0332,0,0,2.2044,0.0066,0.0077
"20",0.1474,-0.0343,0,0,2.2077,0.0068,0.0065
"21",0.1522,-0.0355,0,0,2.2027,0.008,0.0106
"22",0.1574,-0.0367,0,0,2.2062,0.0107,0.0084
"23",0.1624,-0.0378,0,0,2.1941,0.0148,0.012
"24",0.1674,-0.039,0,0,2.1579,0.0143,0.0139
"25",0.1725,-0.0402,0,0,2.1977,0.0185,0.0144
"26",0.1775,-0.0414,0,0,2.1707,0.0165,0.0222
"27",0.1824,-0.0425,0,0,2.1124,0.0188,0.0176
"28",0.1874,-0.0437,0,0,2.1302,0.0277,0.0231
"29",0.1922,-0.0448,0,0,2.0988,0.0236,0.0254
"30",0.1971,-0.0459,0,0,2.0534,0.0226,0.0299
"31",0.2027,-0.0472,0,0,2.033,0.0289,0.0315
"32",0.2078,-0.0484,0,0,2.0166,0.0337,0.0333
"33",0.2124,-0.0495,0,0,1.9881,0.065,0.0599
"34",0.218,-0.0508,0,0,2.1743,0.1218,0.1538
"35",0.2214,-0.0516,0,0,1.8036,0.1857,0.2858
"36",0.2273,-0.053,0,0,1.9676,0.1905,0.2764
"37",0.2366,-0.0552,0,0,1.8019,0.1674,0.1867
"38",0.2482,-0.0579,0,0,2.0233,0.0612,0.065
